Task;Difficulty;Comment
countIntegerInterval;3;
palindrome;2;
leastCommonMultiple;3;
validParentheses;2;
prime;3;
squareRoot;4;
bubbleSort;5;
linearSearch;2;
power;3;
unrolledSort;1;
binarySearch;5;
countLetters;5;
commonChars;2;
arrayAverage;3;
forwardBackward;4;
