Task;Difficulty;Comment
palindrome;3;
countLetters;2;
countIntegerInterval;3;
binarySearch;3;
linearSearch;1;
binaryToDecimal;4;rekursiv war verwirrend
arrayAverage;1;
containsSubstring;5;
