Sequence;ID;Snippet;StartingTime;SnippetPath
0;0;WarmUp;739149;WarmUp.jpg
1;1;primeLT;767391;primeLT.jpg
2;2;forwardBackwardLN;845678;forwardBackwardLN.jpg
3;3;capitalizeFirstLetterLT;909407;capitalizeFirstLetterLT.jpg
4;4;crossSumLT;1036910;crossSumLT.jpg
5;5;leastCommonMultipleLT;1140343;leastCommonMultipleLT.jpg
6;6;powerLN;1274136;powerLN.jpg
7;7;validParenthesesLN;1313950;validParenthesesLN.jpg
8;8;linearSearchLT;1452634;linearSearchLT.jpg
9;9;countIntegerIntervalLT;1557468;countIntegerIntervalLT.jpg
10;10;binaryToDecimalLN;1680742;binaryToDecimalLN.jpg
11;11;containsSubstringLT;1780132;containsSubstringLT.jpg
12;12;arrayAverageLN;1935376;arrayAverageLN.jpg
13;13;bubbleSortLT;2026288;bubbleSortLT.jpg
14;14;commonCharsLN;2154160;commonCharsLN.jpg
15;15;factorialLN;2195494;factorialLN.jpg
16;16;unrolledSortLN;2228336;unrolledSortLN.jpg
17;17;binarySearchLT;2274759;binarySearchLT.jpg
18;20;squareRootLN;2584199;squareRootLN.jpg
