Task;Difficulty;Comment
factorial;1;
binarySearch;3;
containsSubstring;4;
squareRoot;1;
linearSearch;1;
leastCommonMultiple;1;
unrolledSort;3;
palindrome;2;
countIntegerInterval;2;
bubbleSort;1;
prime;1;
crossSum;1;
countLetters;2;
binaryToDecimal;1;
forwardBackward;2;
capitalizeFirstLetter;2;
power;1;
validParentheses;2;
arrayAverage;1;
commonChars;2;
