Task;Difficulty;Comment
countLetters;3;
prime;2;
binarySearch;2;
bubbleSort;2;
arrayAverage;1;
containsSubstring;5;
palindrome;2;
unrolledSort;2;
factorial;1;
squareRoot;2;
capitalizeFirstLetter;3;
validParentheses;3;
crossSum;1;
leastCommonMultiple;2;
forwardBackward;2;
commonChars;2;
countIntegerInterval;2;
linearSearch;1;
power;1;
binaryToDecimal;2;
