Task;Difficulty;Comment
binarySearch;2;
factorial;1;
forwardBackward;3;here I spent time to recall that range() can be used to provide descending order of indicies
validParentheses;3;the 10th line was the most time-consuming here
power;1;
countLetters;1;
squareRoot;2;
bubbleSort;2;
unrolledSort;4;I spent time checking that all five cases all possible cases of sorting arrays of 4 elements
linearSearch;1;
crossSum;2;
binaryToDecimal;1;
capitalizeFirstLetter;2;
countIntegerInterval;1;
arrayAverage;1;
palindrome;1;
containsSubstring;4;took time to understand the role of the index 'o' as an offset to avoid redundant checks
commonChars;3;
leastCommonMultiple;3;
prime;2;
