Task;Difficulty;Comment
prime;1;
binarySearch;2;
binaryToDecimal;4;
countLetters;2;
bubbleSort;2;
squareRoot;1;
power;1;
crossSum;2;
unrolledSort;1;
countIntegerInterval;2;
linearSearch;2;
capitalizeFirstLetter;5;
