Task;Difficulty;Comment
bubbleSort;3;
leastCommonMultiple;1;
binarySearch;4;
linearSearch;2;
containsSubstring;4;
squareRoot;3;
crossSum;1;
validParentheses;3;
commonChars;2;
binaryToDecimal;3;
power;2;
unrolledSort;3;
