Task;Difficulty;Comment
countIntegerInterval;1;
binaryToDecimal;3;
palindrome;1;
prime;1;
crossSum;1;
commonChars;4;
unrolledSort;4;
forwardBackward;3;
countLetters;2;
arrayAverage;2;
factorial;1;
binarySearch;5;
bubbleSort;2;
linearSearch;2;
containsSubstring;5;
validParentheses;4;
squareRoot;1;
capitalizeFirstLetter;3;
power;1;
leastCommonMultiple;5;
