Task;Difficulty;Comment
validParentheses;4;
linearSearch;2;
binaryToDecimal;4;
countIntegerInterval;3;
palindrome;3;
binarySearch;2;
forwardBackward;1;
unrolledSort;1;
power;1;
leastCommonMultiple;1;
arrayAverage;1;
commonChars;1;
countLetters;1;
squareRoot;1;
capitalizeFirstLetter;2;
prime;1;
bubbleSort;3;
crossSum;1;
factorial;1;
containsSubstring;2;
